'3f262aee,Shalini,2023-05-04 23:40:11,removed menu item carousel classes'
'42ece21c,Shalini,2023-05-04 23:37:09,added menu item image field'
'9a5d3e64,Shalini,2023-05-04 23:28:17,removed header from menu items'
'319875f6,Shalini,2023-05-04 23:27:45,made back button with icon inside'
'e420356e,Shalini,2023-05-04 23:23:19,changed the menuitem name field'
'2056d548,Shalini,2023-05-04 23:19:51,rearranged fields for menu items'
'15b6955f,Shalini,2023-05-04 23:17:12,added carousel thumbails class for menu items'
'40eddefd,Shalini,2023-05-04 23:16:12,added carousel slides class for menu items'
'd126b0d9,Shalini,2023-05-04 23:13:54,added carousel wrapper for menu items'
'41f85345,arinamaros,2023-05-04 22:32:58,checkout'
'06f65f1d,Shalini,2023-05-04 22:17:40,changes'
'c26a16ed,Shalini,2023-05-04 21:40:57,removed buttons code and styling in standardmenu custshow.blade.php'
'02b208d9,Shalini,2023-05-04 21:39:21,added the cart button and changed size of cart icon inside it'
'0ef755ae,Shalini,2023-05-04 21:32:41,added the rate button and changed size of star icon inside it'
'38488ec8,Shalini,2023-05-04 21:27:13,added the back button and changed size of arrow icon inside it'
'9339c4c5,Shalini,2023-05-04 20:48:00,removed main heading for standard menu'
'3e1a7851,Shalini,2023-05-04 20:40:17,made more space between image and menu item name and also made menu item name and price on different lines'
'0876e72e,Shalini,2023-05-04 20:35:12,removed old standard menu carousel'
'4f03e799,Shalini,2023-05-04 20:34:20,added css'
'4af92278,Shalini,2023-05-04 20:33:42,removed old standard menu fields'
'13ad39d1,Shalini,2023-05-04 20:33:15,fixed up divs'
'386d4c98,Shalini,2023-05-04 20:32:16,added standard menu details class with all fields'
'313e005a,Shalini,2023-05-04 20:31:08,added carousel thumbnail class'
'd5433e3a,Shalini,2023-05-04 20:30:31,added carousel slides class'
'9dd6123b,Shalini,2023-05-04 20:29:45,added carousel wrapper'
'bd7d294b,Shalini,2023-05-04 20:28:08,removed menu items table field'
'39e0ee87,arinamaros,2023-05-04 18:17:26,event name'
'36379809,arinamaros,2023-05-04 17:03:57,product details css'
'1ca010da,arinamaros,2023-05-04 16:39:51,fixed venue ratings'
'76c5bc20,arinamaros,2023-05-04 16:28:37,map icons'
'802baed3,arinamaros,2023-05-04 16:09:57,venues custshow'
'95e4b683,arinamaros,2023-05-04 13:19:48,login pages'
'3ef17113,arinamaros,2023-05-03 22:12:11,login page'
'21a0c8b6,arinamaros,2023-05-03 22:03:27,login css'
'e7118501,arinamaros,2023-05-03 20:27:50,added file back'
'dbf14676,arinamaros,2023-05-03 20:26:13,Remove unused views'
'd18adcc2,arinamaros,2023-05-03 20:13:08,homepage'
'47cc322a,arinamaros,2023-05-02 23:06:20,navbar collapse menu'
'67ab42c5,arinamaros,2023-05-02 21:14:00,menus going into order'
'37b60fae,arinamaros,2023-05-02 19:50:04,project fixes'
'736bf9e8,arinamaros,2023-04-28 01:28:34,shop'
'f9d31e28,arinamaros,2023-04-28 01:11:16,checkout'
'6d1abc00,arinamaros,2023-04-28 01:07:39,checkout'
'7fc122b1,Shalini,2023-04-28 00:42:58,made changes'
'2c73fa04,Shalini,2023-04-28 00:22:57,changed width'
'c2ca754b,Shalini,2023-04-28 00:15:21,made projectcreated page work'
'795fbfd9,Shalini,2023-04-28 00:08:12,fixed button and card alignment'
'178c859f,Shalini,2023-04-28 00:04:58,edited more custshow for projects'
'd02cfb4d,Shalini,2023-04-27 23:54:07,added buttons for custshow projects'
'9c4656a2,Shalini,2023-04-27 23:41:01,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'ae3bdd7e,Shalini,2023-04-27 23:40:42,edited custshow for projects'
'100a1c67,arinamaros,2023-04-27 23:38:38,event product details'
'af5b59d9,arinamaros,2023-04-27 23:12:08,checkout fixes'
'8f05e91c,Shalini,2023-04-27 22:56:28,added project created route'
'dae96342,arinamaros,2023-04-27 22:56:08,product log'
'0c3e3813,arinamaros,2023-04-27 22:31:36,Merge branch 'main' of https://github.com/TUDublinBlanchBusinessIT/final-year-project-part-2-eventdream'
'6d026459,arinamaros,2023-04-27 22:30:24,checkout'
'e63c89c4,Shalini,2023-04-27 17:06:58,aligned buttons beside each other in custommenu custshow'
'214a81aa,Shalini,2023-04-27 16:53:00,centred card and heading for custommenu custshow'
'44c621de,arinamaros,2023-04-27 15:42:32,added project route to admin menu'
'90605b5d,arinamaros,2023-04-27 15:40:36,fixed web.php layout'
'614e306e,Shalini,2023-04-27 15:25:23,made more changes for view projects'
'a50a90a2,Shalini,2023-04-27 15:11:24,changed profilemenu.blade.php'
'1c914288,Shalini,2023-04-27 15:10:14,made custshow route for project'
'e3b1e9cb,Shalini,2023-04-27 15:08:47,made custshow function in projectController'
'a3ec761c,Shalini,2023-04-27 15:06:44,made custshow_fields.blade.php for project'
'53df7219,Shalini,2023-04-27 15:05:59,made custtable.blade.php for project'
'9b5e083a,Shalini,2023-04-27 15:02:49,made custindex.blade.php for project'
'8311ee04,Shalini,2023-04-27 15:01:51,made custshow.blade.php for project'
'746fd3c6,Shalini,2023-04-27 15:00:27,made createproject route in web.php'
'796771e5,Shalini,2023-04-27 14:57:37,made projects.createproject function in checkout.blade.php'
'810aff3a,Shalini,2023-04-27 14:54:07,made createproject function in eventController'
'2200076c,arinamaros,2023-04-25 23:16:56,lowercasing'
'41fb6bf2,arinamaros,2023-04-25 23:10:16,login buttons'
'8a700de1,arinamaros,2023-04-25 23:00:49,auth links'
'ac9fe55e,arinamaros,2023-04-25 22:32:05,url fixes'
'e384055f,arinamaros,2023-04-25 21:48:54,event orders'
'0f9043ae,arinamaros,2023-04-25 14:33:23,payment page'
'45e6f6f6,arinamaros,2023-04-23 23:43:42,css test'
'e84261c8,arinamaros,2023-04-23 23:34:07,testing css file changes'
'b68e440a,arinamaros,2023-04-21 23:45:20,css'
'1a87b5a8,arinamaros,2023-04-21 22:58:46,css'
'94c1d98b,arinamaros,2023-04-21 22:39:18,layout fixes'
